height,weight,age,sex
125.095,22.3677555,11,female
140.97,40.936678,85.6,female
154.94,49.6966735,26,male
141.605,44.338618,24,female
160.02,45.9545395,57,male
150.1648,41.95726,22,female
155.575,51.482692,24,female
103.505,12.757275,6,female
94.615,13.0124205,4,female
156.21,44.111822,21,female
153.035,32.205032,79,female
167.005,56.755699,50,male
149.86,52.673371,40,female
147.955,36.4858065,64,female
159.385,48.8461885,32,male
161.925,56.9541455,38.7,male
155.575,42.0990075,26,female
159.385,50.178615,63,male
146.685,46.549879,62,female
172.72,61.80191,22,male
166.37,48.987936,41,male
141.605,31.524644,19,male
142.875,32.205032,17,female
133.35,23.756881,14,female
127.635,24.4089195,9,male
119.38,21.5172705,7,male
151.765,35.2951275,74,female
156.845,45.642695,41,male
148.59,43.885026,33,female
157.48,45.5576465,53,female
149.86,39.008912,18,female
147.955,41.163474,37,female
102.235,13.1258185,6,female
153.035,45.245802,61,female
160.655,53.637254,44,male
149.225,52.3048275,35,female
114.3,18.3421265,7,male
100.965,13.7495075,4,male
138.43,39.0939605,23,female
91.44,12.530479,4,male
162.56,45.699394,55,male
149.225,40.3980375,53,female
158.75,51.482692,59,male
149.86,38.668718,57,female
158.115,39.235708,35,male
156.21,44.338618,29,female
148.59,39.519203,62,male
143.51,31.071052,18,female
154.305,46.776675,51,female
131.445,22.509503,14,female
157.48,40.6248335,19,male
157.48,50.178615,42,male
154.305,41.276872,25,female
107.95,17.57669,6,male
168.275,54.6,41,male
145.415,44.9906565,37,female
147.955,44.735511,16,female
100.965,14.401546,5,male
113.03,19.050864,9,male
149.225,35.8054185,82,male
154.94,45.2174525,28,male
162.56,48.1091015,50,male
156.845,45.6710445,43,female
123.19,20.808533,8,male
161.0106,48.420946,31,male
144.78,41.1918235,67,female
143.51,38.4135725,39,female
149.225,42.127357,18,female
110.49,17.6617385,11,female
149.86,38.2434755,48,female
165.735,48.3358975,30,male
144.145,38.9238635,64,female
157.48,40.029494,72,male
154.305,50.2069645,68,female
163.83,54.2892925,44,male
156.21,45.6,43,female
153.67,40.766581,16,female
134.62,27.1304715,13,female
144.145,39.4341545,34,female
114.3,20.4966885,10,female
162.56,43.204638,62,male
146.05,31.864838,44,female
120.65,20.8935815,11,male
154.94,45.4442485,31,male
144.78,38.045029,29,female
106.68,15.989118,8,female
146.685,36.0889135,62,female
152.4,40.879979,67,female
163.83,47.910655,57,male
165.735,47.7122085,32,male
156.21,46.379782,24,female
152.4,41.163474,77,male
140.335,36.5992045,62,female
158.115,43.09124,17,male
163.195,48.137451,67,male
151.13,36.7126025,70,female
171.1198,56.5572525,37,male
149.86,38.6970675,58,female
163.83,47.4854125,35,male
141.605,36.2023115,30,female
93.98,14.288148,5,female
149.225,41.276872,26,female
105.41,15.2236815,5,female
146.05,44.7638605,21,female
161.29,50.4337605,41,male
162.56,55.281525,46,male
145.415,37.931631,49,female
145.415,35.493574,15,male
170.815,58.456669,28,male
127,21.488921,12,female
159.385,44.4236665,83,female
159.4,44.4,54,male
153.67,44.565414,54,female
160.02,44.622113,68,male
150.495,40.483086,68,female
149.225,44.0834725,56,female
127,24.4089195,15,female
142.875,34.416293,57,female
142.113,32.772022,22,female
147.32,35.947166,40,female
162.56,49.5549,19,male
164.465,53.183662,41,male
160.02,37.081146,75.9,male
153.67,40.5114355,73.9,female
167.005,50.6038575,49,male
151.13,43.9700745,26,male
147.955,33.792604,17,female
125.3998,21.375523,13,female
111.125,16.669506,8,female
153.035,49.89,88,male
139.065,33.5941575,68,female
152.4,43.8566765,33,male
154.94,48.137451,26,female
147.955,42.751046,56,female
143.51,34.8415355,16,male
117.983,24.097075,13,female
144.145,33.906002,34,female
92.71,12.076887,5,female
147.955,41.276872,17,female
155.575,39.7176495,74,male
150.495,35.947166,69,female
155.575,50.915702,50,male
154.305,45.756093,44,female
130.6068,25.2594045,15,female
101.6,15.3370795,5,female
157.48,49.214732,18,female
168.91,58.8252125,41,male
150.495,43.4597835,27,female
111.76,17.8318355,8.9,male
160.02,51.9646335,38,male
167.64,50.688906,57,male
144.145,34.246196,64.5,female
145.415,39.3774555,42,female
160.02,59.5622995,24,male
147.32,40.312989,16,male
164.465,52.16308,71,male
153.035,39.972795,49.5,female
149.225,43.941725,33,male
160.02,54.601137,28,female
149.225,45.075705,47,female
85.09,11.453198,3,male
84.455,11.7650425,1,male
59.6138,5.896696,1,female
92.71,12.1052365,3,male
111.125,18.313777,6,female
90.805,11.3681495,5,female
153.67,41.333571,27,female
99.695,16.2442635,5,female
62.484,6.80388,1,female
81.915,11.8784405,2,male
96.52,14.968536,2,female
80.01,9.865626,1,male
150.495,41.900561,55,female
151.765,42.524,83.4,male
140.6398,28.859791,12,male
88.265,12.7856245,2,female
158.115,43.147939,63,male
149.225,40.82328,52,female
151.765,42.864444,49,male
154.94,46.209685,31,female
123.825,20.581737,9,female
104.14,15.87572,6,female
161.29,47.853956,35,male
148.59,42.52425,35,female
97.155,17.066399,7,female
93.345,13.1825175,5,male
160.655,48.5059945,24,male
157.48,45.869491,41,male
167.005,52.900167,32,male
157.48,47.570461,43,male
91.44,12.927372,6,female
60.452,5.6699,1,male
137.16,28.91649,15,male
152.4,43.544832,63,female
152.4,43.431434,21,female
81.28,11.509897,1,male
109.22,11.7083435,2,female
71.12,7.540967,1,male
89.2048,12.700576,3,female
67.31,7.200773,1,female
85.09,12.360382,1,male
69.85,7.7961125,1,female
161.925,53.2120115,55,female
152.4,44.678812,38,female
88.9,12.5588285,3,male
90.17,12.700576,3,male
71.755,7.37087,1,female
83.82,9.2135875,1,female
159.385,47.2019175,28,male
142.24,28.632995,16,female
142.24,31.6663915,36,female
168.91,56.4438545,38,male
123.19,20.014747,12,male
74.93,8.50485,1,male
74.295,8.3064035,1,female
90.805,11.623295,3,female
160.02,55.791816,48,male
67.945,7.9662095,1,female
135.89,27.21552,15,female
158.115,47.4854125,45,male
85.09,10.8011595,3,male
93.345,14.004653,3,female
152.4,45.1607535,38,female
155.575,45.529297,21,female
154.305,48.874538,50,female
156.845,46.5782285,41,male
120.015,20.128145,13,female
114.3,18.14368,8,male
83.82,10.9145575,3,male
156.21,43.885026,30,female
137.16,27.158821,12,male
114.3,19.050864,7,male
93.98,13.834556,4,female
168.275,56.0469615,21,male
147.955,40.086193,38,female
139.7,26.5634815,15,male
157.48,50.802304,19,female
76.2,9.2135875,1,male
66.04,7.5693165,1,male
160.7,46.3,31,male
114.3,19.4194075,8,female
146.05,37.9032815,16,male
161.29,49.3564795,21,male
69.85,7.314171,0,female
133.985,28.1510535,13,male
67.945,7.824462,0,male
150.495,44.111822,50,female
163.195,51.0291,39,male
148.59,40.766581,44,male
148.59,37.5630875,36,female
161.925,51.59609,36,male
153.67,44.8205595,18,female
68.58,8.0229085,0,female
151.13,43.4030845,58,female
163.83,46.719976,58,male
153.035,39.5475525,33,female
151.765,34.7848365,21.5,female
132.08,22.792998,11,male
156.21,39.292407,26,male
140.335,37.4496895,22,female
158.75,48.6760915,28,male
142.875,35.606972,42,female
84.455,9.3836845,2,male
151.9428,43.714929,21,male
161.29,48.19415,19,male
127.9906,29.8520235,13,male
160.9852,50.972401,48,male
144.78,43.998424,46,female
132.08,28.292801,11,male
117.983,20.354941,8,male
160.02,48.19415,25,male
154.94,39.179009,16,male
160.9852,46.6916265,51,male
165.989,56.415505,25,male
157.988,48.591043,28,male
154.94,48.2224995,26,female
97.9932,13.2959155,5,male
64.135,6.6621325,1,female
160.655,47.4854125,54,male
147.32,35.550273,66,female
146.7,36.6,20,female
147.32,48.9595865,25,female
172.9994,51.255896,38,male
158.115,46.5215295,51,male
147.32,36.967748,48,female
124.9934,25.117657,13,male
106.045,16.272613,6,male
165.989,48.647742,27,male
149.86,38.045029,22,female
76.2,8.50485,1,female
161.925,47.286966,60,male
140.0048,28.3495,15,female
66.675,8.1363065,0,female
62.865,7.200773,0,male
163.83,55.394923,43,male
147.955,32.488527,12,male
160.02,54.204244,27,male
154.94,48.477645,30,male
152.4,43.0628905,29,female
62.23,7.257472,0,female
146.05,34.189497,23,female
151.9936,49.951819,30,female
157.48,41.3052215,17,male
55.88,4.8477645,0,female
60.96,6.23689,0,male
151.765,44.338618,41,female
144.78,33.45241,42,female
118.11,16.896302,7,female
78.105,8.221355,3,female
160.655,47.286966,43,male
151.13,46.1246365,35,female
121.92,20.184844,10,female
92.71,12.757275,3,male
153.67,47.400364,75.5,male
147.32,40.8516295,64,female
139.7,50.348712,38,male
157.48,45.132404,24.2,female
91.44,11.623295,4,female
154.94,42.240755,26,male
143.51,41.6454155,19,female
83.185,9.1568885,2,male
158.115,45.2174525,43,male
147.32,51.255896,38,female
123.825,21.205426,10,male
88.9,11.5949455,3,male
160.02,49.271431,23,male
137.16,27.952607,16,female
165.1,51.199197,49,male
154.94,43.8566765,41,female
111.125,17.690088,6,male
153.67,35.5219235,23,female
145.415,34.246196,14,female
141.605,42.88542,43,female
144.78,32.545226,15,female
163.83,46.776675,21,male
161.29,41.8722115,24,male
154.9,38.2,20,male
161.3,43.3,20,male
170.18,53.637254,34,male
149.86,42.977842,29,female
123.825,21.54562,11,male
85.09,11.4248485,3,female
160.655,39.7743485,65,male
154.94,43.3463855,46,female
106.045,15.478827,8,female
126.365,21.9141635,15,male
166.37,52.673371,43,male
148.2852,38.441922,39,female
124.46,19.27766,12,female
89.535,11.113004,3,male
101.6,13.494362,4,female
151.765,42.807745,43,female
148.59,35.890467,70,female
153.67,44.22522,26,female
53.975,4.252425,0,female
146.685,38.0733785,48,female
56.515,5.159609,0,female
100.965,14.3164975,5,male
121.92,23.2182405,8,male
81.5848,10.659412,3,female
154.94,44.111822,44,male
156.21,44.0267735,33,female
132.715,24.9759095,15,male
125.095,22.5945515,12,female
101.6,14.344847,5,female
160.655,47.8823055,41,male
146.05,39.405805,37.4,female
132.715,24.777463,13,female
87.63,10.659412,6,female
156.21,41.050076,53,male
152.4,40.82328,49,female
162.56,47.0318205,27,female
114.935,17.519991,7,male
67.945,7.2291225,1,female
142.875,34.246196,31,female
76.835,8.0229085,1,male
145.415,31.127751,17,male
162.56,52.16308,31,male
156.21,54.0624965,21,female
71.12,8.051258,0,male
158.75,52.5316235,68,male
